@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,negative
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,negative
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,negative
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,negative
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,positive
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,negative
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,negative
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,negative
M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,negative
F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,negative
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,negative
F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,negative
M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,negative
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,negative
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,negative
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,negative
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,positive
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,negative
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,negative
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,negative
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,negative
I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,negative
F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,negative
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,positive
F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,negative
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,negative
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,negative
I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,negative
