@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,positive
M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,negative
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,positive
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,positive
M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,positive
F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,positive
F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,positive
M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,positive
F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,positive
F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,positive
M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,positive
F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,positive
M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,negative
I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,positive
F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,negative
I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,positive
I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,positive
I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,positive
M,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,negative
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,positive
I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,negative
I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,negative
F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,negative
I,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,negative
I,0.44,0.305,0.115,0.379,0.162,0.091,0.11,negative
F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,positive
M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,positive
M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,positive
F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,positive
M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,negative
I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,negative
F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,negative
M,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,positive
F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,positive
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,positive
F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,positive
M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,negative
F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,positive
M,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,negative
I,0.46,0.36,0.14,0.447,0.161,0.087,0.16,negative
F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,positive
M,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,positive
I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,negative
M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,positive
F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,positive
F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,positive
M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,positive
M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,negative
M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,positive
M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,negative
F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,negative
F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,positive
F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,positive
