@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,positive
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,negative
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,negative
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,positive
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,negative
M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,negative
F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,positive
F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,positive
M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,positive
I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,negative
F,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,positive
F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,positive
M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,positive
F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,positive
I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,negative
M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,negative
I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,positive
I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,positive
I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,positive
I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,positive
M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,negative
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,positive
I,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,negative
M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,negative
M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,negative
I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,negative
I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,negative
I,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,negative
I,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,negative
I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,negative
F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,positive
M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,positive
F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,positive
F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,positive
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,positive
M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,positive
F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,positive
F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,positive
I,0.335,0.24,0.095,0.17,0.062,0.039,0.055,negative
M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,positive
F,0.64,0.54,0.175,1.571,0.627,0.271,0.475,positive
F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,positive
M,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,positive
M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,positive
M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,positive
F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,positive
F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,positive
M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,positive
M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,positive
F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,negative
F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,negative
M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,negative
F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,positive
