@relation abalone19
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,positive
F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,positive
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,negative
F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,negative
F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,negative
F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,negative
M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,negative
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,negative
F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,negative
M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,positive
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,negative
M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,negative
F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,positive
M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,negative
M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,positive
F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,positive
F,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,negative
M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,positive
M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,negative
F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,positive
F,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,negative
F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,positive
F,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,negative
F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,positive
F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,positive
F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,positive
I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,positive
F,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,positive
M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,negative
M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,negative
M,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,negative
F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,negative
M,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,negative
F,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,negative
F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,negative
F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,negative
M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,negative
F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,negative
F,0.745,0.57,0.215,2.25,1.1565,0.446,0.558,negative
I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,negative
F,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,negative
