@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,negative
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,positive
F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,negative
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,positive
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,positive
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,negative
M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,positive
F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,positive
F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,positive
M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,positive
F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,positive
F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,positive
M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,positive
F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,negative
F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,positive
I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,positive
I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,positive
I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,positive
I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,positive
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,positive
M,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,negative
F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,negative
M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,negative
F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,negative
M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,negative
F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,negative
M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,negative
F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,negative
M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,negative
M,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,negative
I,0.5,0.375,0.14,0.559,0.2375,0.135,0.169,negative
I,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,negative
M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,negative
M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,negative
M,0.5,0.37,0.15,1.0615,0.494,0.223,0.296,negative
F,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,negative
F,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,negative
I,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,negative
M,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,negative
F,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,negative
M,0.62,0.47,0.15,1.309,0.587,0.4405,0.325,negative
F,0.56,0.41,0.16,0.8215,0.342,0.184,0.253,negative
I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,negative
F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,positive
M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,positive
M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,positive
F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,positive
M,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,positive
F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,positive
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,positive
F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,positive
F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,positive
F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,negative
F,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,negative
M,0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,negative
M,0.65,0.51,0.155,1.407,0.7215,0.298,0.335,negative
M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,negative
F,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,negative
M,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,negative
F,0.51,0.37,0.21,1.183,0.508,0.292,0.343,negative
I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,negative
F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,positive
M,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,positive
M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,positive
F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,positive
F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,positive
M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,positive
M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,positive
F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,negative
M,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,negative
I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,negative
F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,negative
F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,positive
F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,positive
M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,negative
